Origin State,Origin County,Destination CTFIPS,Destination State,Destination County,Year,Movements,25th Percentile (minutes),50th Percentile (minutes),75th Percentile (minutes)
TX,Houston,8039,CO,Elbert,2023,<1K,1377.03,1954.62,2870.17
TX,Houston,8069,CO,Larimer,2023,<1K,1467.82,1916.1,2939.65
TX,Houston,8073,CO,Lincoln,2023,<1K,1338.02,1800.05,2864.0
TX,Houston,8099,CO,Prowers,2023,<1K,1445.15,2104.58,3265.2
TX,Houston,8123,CO,Weld,2023,<1K,1471.85,2168.4,3084.12
TX,Houston,12001,FL,Alachua,2023,<1K,1744.12,2594.78,4463.45
TX,Houston,12023,FL,Columbia,2023,<1K,1650.0,2414.98,3815.28
TX,Houston,12033,FL,Escambia,2023,<1K,1281.03,1536.63,2490.73
TX,Houston,12039,FL,Gadsden,2023,<1K,1426.98,1717.83,2773.4
TX,Houston,12059,FL,Holmes,2023,<1K,1386.03,1646.48,2604.6
TX,Houston,12063,FL,Jackson,2023,<1K,1402.95,1674.5,2611.18
TX,Houston,12065,FL,Jefferson,2023,<1K,1479.6,1768.45,2764.3
TX,Houston,12073,FL,Leon,2023,<1K,1455.07,1748.43,2791.33
TX,Houston,12079,FL,Madison,2023,<1K,1498.77,1787.52,2837.43
TX,Houston,12083,FL,Marion,2023,<1K,1774.13,2618.73,4466.0
TX,Houston,12091,FL,Okaloosa,2023,<1K,1322.83,1578.73,2490.18
TX,Houston,12113,FL,Santa Rosa,2023,<1K,1285.9,1512.47,2457.17
TX,Houston,12119,FL,Sumter,2023,<1K,1913.43,2701.18,4500.0
TX,Houston,12121,FL,Suwannee,2023,<1K,1598.63,2296.4,3653.8
TX,Houston,12131,FL,Walton,2023,<1K,1348.77,1619.82,2533.9
TX,Houston,12133,FL,Washington,2023,<1K,1380.53,1695.12,2692.62
TX,Houston,13011,GA,Banks,2023,<1K,1635.58,2407.28,4076.6
TX,Houston,13013,GA,Barrow,2023,<1K,1611.23,2442.18,3890.32
TX,Houston,13015,GA,Bartow,2023,<1K,2476.93,3573.85,7184.65
TX,Houston,13045,GA,Carroll,2023,<1K,1441.75,2098.0,3150.03
TX,Houston,13063,GA,Clayton,2023,<1K,1741.72,2545.48,4513.85
TX,Houston,13067,GA,Cobb,2023,<1K,1560.0,2483.65,4221.23
TX,Houston,13073,GA,Columbia,2023,<1K,1828.67,2498.52,4026.18
TX,Houston,13077,GA,Coweta,2023,<1K,1801.55,2707.93,4727.73
TX,Houston,13083,GA,Dade,2023,<1K,1286.47,1512.52,2857.02
TX,Houston,13089,GA,DeKalb,2023,<1K,1588.0,2354.08,3797.43
TX,Houston,13097,GA,Douglas,2023,<1K,1486.8,2184.13,3193.3
TX,Houston,13119,GA,Franklin,2023,<1K,1646.77,2424.65,4103.85
TX,Houston,13121,GA,Fulton,2023,<1K,1607.13,2415.0,4227.23
TX,Houston,13133,GA,Greene,2023,<1K,1697.65,2394.32,3420.17
TX,Houston,13135,GA,Gwinnett,2023,<1K,1565.43,2461.33,4078.8
TX,Houston,13143,GA,Haralson,2023,<1K,1407.38,1833.25,3056.0
TX,Houston,13145,GA,Harris,2023,<1K,1669.3,2591.57,4759.2
TX,Houston,13147,GA,Hart,2023,<1K,1719.27,2446.68,4101.95
TX,Houston,13157,GA,Jackson,2023,<1K,1597.97,2400.13,4107.82
TX,Houston,13189,GA,McDuffie,2023,<1K,1770.48,2436.02,3502.9
TX,Houston,13199,GA,Meriwether,2023,<1K,1757.18,2655.92,4691.62
TX,Houston,13211,GA,Morgan,2023,<1K,1675.63,2374.27,3117.87
TX,Houston,13217,GA,Newton,2023,<1K,1665.53,2401.17,3840.0
TX,Houston,13245,GA,Richmond,2023,<1K,1885.1,2517.62,3528.53
TX,Houston,13247,GA,Rockdale,2023,<1K,1651.63,2393.1,3875.65
TX,Houston,13265,GA,Taliaferro,2023,<1K,1753.05,2458.37,3473.22
TX,Houston,13285,GA,Troup,2023,<1K,1708.03,2700.0,4763.5
TX,Houston,13297,GA,Walton,2023,<1K,1687.92,2446.28,3909.83
TX,Houston,13301,GA,Warren,2023,<1K,1762.05,2458.58,3502.57
TX,Houston,17003,IL,Alexander,2023,<1K,1278.02,1438.97,2382.23
TX,Houston,17019,IL,Champaign,2023,<1K,1617.47,2328.73,3955.07
TX,Houston,17023,IL,Clark,2023,<1K,1530.0,2291.77,3492.25
TX,Houston,17025,IL,Clay,2023,<1K,1472.37,2013.2,3724.58
TX,Houston,17029,IL,Coles,2023,<1K,1516.6,2129.17,3265.55
TX,Houston,17031,IL,Cook,2023,<1K,2307.12,3029.73,5548.33
TX,Houston,17035,IL,Cumberland,2023,<1K,1507.98,2135.63,3320.1
TX,Houston,17041,IL,Douglas,2023,<1K,1537.58,2165.0,3615.0
TX,Houston,17049,IL,Effingham,2023,<1K,1465.12,1930.1,3189.58
TX,Houston,17051,IL,Fayette,2023,<1K,1457.2,1880.73,3163.57
TX,Houston,17053,IL,Ford,2023,<1K,1620.15,2285.0,3149.98
TX,Houston,17055,IL,Franklin,2023,<1K,1353.43,1566.98,2827.25
TX,Houston,17063,IL,Grundy,2023,<1K,2610.12,3296.68,5336.38
TX,Houston,17075,IL,Iroquois,2023,<1K,1627.98,2276.33,3090.08
TX,Houston,17081,IL,Jefferson,2023,<1K,1378.73,1631.75,2930.53
