OBJECTID,FRAARCID,FRFRANODE,TOFRANODE,STFIPS,CNTYFIPS,STCNTYFIPS,STATEAB,COUNTRY,FRADISTRCT,RROWNER1,RROWNER2,RROWNER3,TRKRGHTS1,TRKRGHTS2,TRKRGHTS3,TRKRGHTS4,TRKRGHTS5,TRKRGHTS6,TRKRGHTS7,TRKRGHTS8,TRKRGHTS9,DIVISION,SUBDIV,BRANCH,YARDNAME,PASSNGR,STRACNET,TRACKS,NET,MILES,KM,TIMEZONE,Shape__Length
114242,434636,369508,369562,48,39,48039,TX,US,5,UP,,,,,,,,,,,,,FREEPORT IND LEAD,,,,,0,O,1.10377469706058,1.77635673877975,C,0.0167959757683633
114243,434637,369508,369574,48,39,48039,TX,US,5,UP,,,,,,,,,,,,,FREEPORT IND LEAD,,,,,0,O,0.627186375683104,1.00936064930865,C,0.0103338568764374
114244,434638,360006,359997,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.257486792405665,0.414385653208609,C,0.00390093963436334
114245,434639,359885,359907,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.208762047551204,0.335970620595486,C,0.0032678215332124
114246,434640,359857,359907,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.357512815646093,0.575362255507656,C,0.005908501668518
114247,434641,359877,359885,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.158368199381575,0.254869421204383,C,0.00231947575023079
114248,434642,359885,359898,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.133480562017048,0.214816571231907,C,0.00210341252023081
114250,434644,359902,360025,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,1.54645056414831,2.48877591426053,C,0.0243041927794727
114251,434645,359917,359946,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.11407442615188,0.183585360451692,C,0.00195889135053864
114252,434646,359979,359971,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.627247658135335,1.0094592740527,C,0.00916811510632279
114253,434647,359962,359946,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.327283800668682,0.526713274329888,C,0.00487829641484993
114254,434648,359946,359971,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.123041417385564,0.198016362853678,C,0.00210536809672218
114256,434650,359892,359902,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.0927510597125257,0.149268659979315,C,0.00147985023978277
114257,434651,359864,359858,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.63088111002162,1.01530675974015,C,0.00924441910961744
114258,434652,359847,359838,48,439,48439,TX,US,5,UP,,,,,,,,,,,,,GREAT SOUTHWEST LEAD,,,,,0,O,0.537694962198522,0.865337891920202,C,0.00791250950736104
